Hostname,Name,Description,Serial Number,Start Date,End Date
BHK-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YE9G,2023-JAN-26,2026-JAN-26
BHK-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YENG,2022-AUG-26,2025-AUG-26
BHK-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMX,2022-AUG-26,2025-AUG-26
BHK-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YEKG,2022-AUG-26,2025-AUG-26
BHK-B-GF-SW,Switch 1,C9300L-24T-4X,FVH2724L0T7,,
BHK-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YEEF,2022-AUG-26,2025-AUG-26
BHK-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YEMH,2022-AUG-26,2025-AUG-26
BHK-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YES8,2022-AUG-26,2025-AUG-26
BHN-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YCMH,2023-JAN-26,2026-JAN-26
BHN-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YHWY,2022-AUG-26,2025-AUG-26
BHN-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMB,2022-AUG-26,2025-AUG-26
BHN-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YHZ2,2022-AUG-26,2025-AUG-26
BHN-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YFEH,,
BHN-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YEZ1,2022-AUG-26,2025-AUG-26
BHN-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHN6,2022-AUG-26,2025-AUG-26
BHN-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMT,2022-AUG-26,2025-AUG-26
