Interface,Switch,Instant Input Power
AD2-SHAFT-A-2F,-2.3,TenGigabitEthernet1/1/1
-40.0,AD2-SHAFT-A-2F,TenGigabitEthernet4/1/1
AD2-SHAFT-B-2F,-1.8,TenGigabitEthernet1/1/1
AD2-SHAFT-B-2F,TenGigabitEthernet6/1/1,-1.7
-3.5,TenGigabitEthernet1/1/1,AD2-SHAFT-C-3F-R2
-5.3,TenGigabitEthernet4/1/1,AD2-SHAFT-C-3F-R2
AD3-SHAFT-A-2F,-2.0,TenGigabitEthernet1/1/1
-4.6,AD3-SHAFT-A-2F,TenGigabitEthernet6/1/1
-1.9,TenGigabitEthernet1/1/1,AD3-SHAFT-B-2F
-2.7,TenGigabitEthernet3/1/1,AD3-SHAFT-B-2F
AD3-SHAFT-C-1F,-1.5,TenGigabitEthernet1/1/1
AD3-SHAFT-C-1F,-3.4,TenGigabitEthernet3/1/1
AD3-SHAFT-C-4F,-3.6,TenGigabitEthernet1/1/1
-8.0,AD3-SHAFT-C-4F,TenGigabitEthernet2/1/1
-2.7,Admin-Shaft_A-1F,TenGigabitEthernet1/1/1
-40.0,Admin-Shaft_A-1F,TenGigabitEthernet2/1/1
-10.5,TenGigabitEthernet1/1/1,Admin-Shaft_A-2F
-40.0,TenGigabitEthernet2/1/1,Admin-Shaft_A-2F
-6.7,Admin-Shaft_A-3F,TenGigabitEthernet1/1/1
-40.0,Admin-Shaft_A-3F,TenGigabitEthernet2/1/1
-5.0,Admin-Shaft_A-4F,TenGigabitEthernet1/1/1
-40.0,Admin-Shaft_A-4F,TenGigabitEthernet2/1/1
-5.3,Admin-Shaft_A-5F,TenGigabitEthernet1/1/1
-40.0,Admin-Shaft_A-5F,TenGigabitEthernet1/1/2
-6.1,Admin-Shaft_A-GF,TenGigabitEthernet1/1/1
-40.0,Admin-Shaft_A-GF,TenGigabitEthernet2/1/1
Admin-Shaft_A-LGF,-1.5,TenGigabitEthernet1/1/1
-40.0,Admin-Shaft_A-LGF,TenGigabitEthernet1/1/2
TenGigabitEthernet1/1/3,Admin-Shaft_A-LGF,-29.6
-40.0,Admin-Shaft_B-1F,TenGigabitEthernet1/1/1
-6.9,Admin-Shaft_B-1F,TenGigabitEthernet2/1/1
-40.0,Admin-Shaft_B-2F,TenGigabitEthernet1/1/1
-6.1,Admin-Shaft_B-2F,TenGigabitEthernet2/1/1
-12.4,Admin-Shaft_B-3F,TenGigabitEthernet1/1/1
