Interface,Switch,Instant Input Power
TenGigabitEthernet1/1/1,AD2-SHAFT-A-2F,-2
TenGigabitEthernet4/1/1,AD2-SHAFT-A-2F,-40
TenGigabitEthernet1/1/1,AD2-SHAFT-B-2F,-1.9
TenGigabitEthernet6/1/1,AD2-SHAFT-B-2F,-1.7
TenGigabitEthernet1/1/1,AD2-SHAFT-C-3F-R2,-3.2
TenGigabitEthernet4/1/1,AD2-SHAFT-C-3F-R2,-5.1
TenGigabitEthernet1/1/1,AD3-SHAFT-A-2F,-2
TenGigabitEthernet6/1/1,AD3-SHAFT-A-2F,-4.6
TenGigabitEthernet1/1/1,AD3-SHAFT-B-2F,-1.8
TenGigabitEthernet3/1/1,AD3-SHAFT-B-2F,-2.7
TenGigabitEthernet1/1/1,Admin-Shaft_A-1F,-2.7
TenGigabitEthernet2/1/1,Admin-Shaft_A-1F,-40
TenGigabitEthernet1/1/1,Admin-Shaft_A-2F,-10.5
TenGigabitEthernet2/1/1,Admin-Shaft_A-2F,-40
TenGigabitEthernet1/1/1,Admin-Shaft_A-3F,-6.7
TenGigabitEthernet2/1/1,Admin-Shaft_A-3F,-40
TenGigabitEthernet1/1/1,Admin-Shaft_A-4F,-5
TenGigabitEthernet2/1/1,Admin-Shaft_A-4F,-40
TenGigabitEthernet1/1/1,Admin-Shaft_A-5F,-5.3
TenGigabitEthernet1/1/2,Admin-Shaft_A-5F,-40
TenGigabitEthernet1/1/1,Admin-Shaft_A-GF,-6.1
TenGigabitEthernet2/1/1,Admin-Shaft_A-GF,-40
TenGigabitEthernet1/1/1,Admin-Shaft_A-LGF,-1.5
TenGigabitEthernet1/1/2,Admin-Shaft_A-LGF,-40
TenGigabitEthernet1/1/3,Admin-Shaft_A-LGF,-29.6
TenGigabitEthernet1/1/1,Admin-Shaft_B-1F,-40
TenGigabitEthernet2/1/1,Admin-Shaft_B-1F,-7
TenGigabitEthernet1/1/1,Admin-Shaft_B-2F,-40
TenGigabitEthernet2/1/1,Admin-Shaft_B-2F,-6.1
TenGigabitEthernet1/1/1,Admin-Shaft_B-3F,-12.4
TenGigabitEthernet2/1/1,Admin-Shaft_B-3F,-40
TenGigabitEthernet1/1/1,Admin-Shaft_B-4F,-5.2
TenGigabitEthernet1/1/1,Admin-Shaft_B-5F,-5.9
TenGigabitEthernet1/1/1,BHJ-A-3F-SW,-40
TenGigabitEthernet1/1/2,BHJ-A-3F-SW,-40
TenGigabitEthernet1/1/1,BHJ-A-6F-SW,-40
TenGigabitEthernet1/1/2,BHJ-A-6F-SW,-40
TenGigabitEthernet1/1/1,BHJ-A-9F-SW,-40
TenGigabitEthernet1/1/2,BHJ-A-9F-SW,-40
TenGigabitEthernet1/1/1,BHJ-A-GF-SW,-4.8
TenGigabitEthernet1/1/2,BHJ-A-GF-SW,-40
TenGigabitEthernet1/1/1,BHJ-B-3F-SW,-40
TenGigabitEthernet1/1/2,BHJ-B-3F-SW,-40
TenGigabitEthernet1/1/1,BHJ-B-6F-SW,-40
TenGigabitEthernet1/1/2,BHJ-B-6F-SW,-40
TenGigabitEthernet1/1/1,BHJ-B-9F-SW,-40
TenGigabitEthernet1/1/2,BHJ-B-9F-SW,-40
TenGigabitEthernet1/1/1,BHJ-B-GF-SW,-7
TenGigabitEthernet1/1/2,BHJ-B-GF-SW,-40
TenGigabitEthernet1/1/1,BHK-A-3F-SW,-40
TenGigabitEthernet1/1/2,BHK-A-3F-SW,-40
TenGigabitEthernet1/1/1,BHK-A-6F-SW,-40
TenGigabitEthernet1/1/2,BHK-A-6F-SW,-40
TenGigabitEthernet1/1/1,BHK-A-9F-SW,-40
TenGigabitEthernet1/1/2,BHK-A-9F-SW,-40
TenGigabitEthernet1/1/1,BHK-A-GF-SW,-7.1
TenGigabitEthernet1/1/2,BHK-A-GF-SW,-40
TenGigabitEthernet1/1/1,BHK-B-3F-SW,-40
TenGigabitEthernet1/1/2,BHK-B-3F-SW,-40
TenGigabitEthernet1/1/1,BHK-B-6F-SW,-40
TenGigabitEthernet1/1/2,BHK-B-6F-SW,-40
TenGigabitEthernet1/1/1,BHK-B-9F-SW,-40
TenGigabitEthernet1/1/2,BHK-B-9F-SW,-40
TenGigabitEthernet1/1/1,BHK-B-GF-SW,-5.9
TenGigabitEthernet1/1/2,BHK-B-GF-SW,-40
TenGigabitEthernet1/1/1,BHL-A-3F-SW,-8
TenGigabitEthernet1/1/2,BHL-A-3F-SW,-3.6
TenGigabitEthernet1/1/1,BHL-A-6F-SW,-3.2
TenGigabitEthernet1/1/2,BHL-A-6F-SW,-3.3
TenGigabitEthernet1/1/1,BHL-A-9F-SW,-2.7
TenGigabitEthernet1/1/2,BHL-A-9F-SW,-40
TenGigabitEthernet1/1/1,BHL-A-GF-SW,-7.2
TenGigabitEthernet1/1/3,BHL-A-GF-SW,-7.5
TenGigabitEthernet1/1/1,BHL-B-3F-SW,-3.6
TenGigabitEthernet1/1/2,BHL-B-3F-SW,-6.4
TenGigabitEthernet1/1/1,BHL-B-6F-SW,-3.8
TenGigabitEthernet1/1/2,BHL-B-6F-SW,-3.5
TenGigabitEthernet1/1/1,BHL-B-9F-SW,-14.8
TenGigabitEthernet1/1/2,BHL-B-9F-SW,-40
TenGigabitEthernet1/1/1,BHL-B-GF-SW,-3.4
TenGigabitEthernet1/1/3,BHL-B-GF-SW,-4.1
TenGigabitEthernet1/1/1,BHM-A-3F-SW,-4.8
TenGigabitEthernet1/1/3,BHM-A-3F-SW,-3.8
TenGigabitEthernet1/1/1,BHM-A-6F-SW,-3.5
TenGigabitEthernet1/1/3,BHM-A-6F-SW,-3.8
TenGigabitEthernet1/1/1,BHM-A-9F-SW,-3.1
TenGigabitEthernet1/1/2,BHM-A-9F-SW,-40
TenGigabitEthernet1/1/1,BHM-A-GF-SW,-3.6
TenGigabitEthernet1/1/3,BHM-A-GF-SW,-8.5
TenGigabitEthernet1/1/1,BHM-B-3F-SW,-3.2
TenGigabitEthernet1/1/2,BHM-B-3F-SW,-5.1
TenGigabitEthernet1/1/1,BHM-B-6F-SW,-3.3
TenGigabitEthernet1/1/2,BHM-B-6F-SW,-4.8
TenGigabitEthernet1/1/1,BHM-B-9F-SW,-4.1
TenGigabitEthernet1/1/2,BHM-B-9F-SW,-40
TenGigabitEthernet1/1/1,BHM-B-GF-SW,-7.6
TenGigabitEthernet1/1/3,BHM-B-GF-SW,-4.3
TenGigabitEthernet1/1/1,BHN-A-3F-SW,-40
TenGigabitEthernet1/1/2,BHN-A-3F-SW,-40
TenGigabitEthernet1/1/1,BHN-A-6F-SW,-40
TenGigabitEthernet1/1/2,BHN-A-6F-SW,-40
TenGigabitEthernet1/1/1,BHN-A-9F-SW,-40
TenGigabitEthernet1/1/2,BHN-A-9F-SW,-40
