PoE Status,Serial Number,Description,Start Date,End Date,OEM,Location,Hostname,Name
Non PoE,FJC265215PG,C9500-16X,2023-MAY-02,2026-MAY-02,Cisco,AD2-Dist-SW,AD2-Dist-SW,Switch 1
Non PoE,FOC2631YC1R,C9500-16X,2023-MAY-02,2026-MAY-02,Cisco,AD2-Dist-SW,AD2-Dist-SW,Switch 2
PoE,FOC2630Y5H2,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,AD2-SHAFT-A-2F,AD2-SHAFT-A-2F,Switch 1
PoE,FOC2629YS15,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,AD2-SHAFT-A-2F,AD2-SHAFT-A-2F,Switch 2
PoE,FOC2630Y46L,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,AD2-SHAFT-A-2F,AD2-SHAFT-A-2F,Switch 3
Non PoE,FOC2650YK1X,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,AD2-SHAFT-A-2F,AD2-SHAFT-A-2F,Switch 4
PoE,FOC2644Y65E,C9300L-24P-4X,2023-MAR-20,2026-MAR-20,Cisco,AD2-SHAFT-B-2F,AD2-SHAFT-B-2F,Switch 1
PoE,FOC2630Y3AA,C9300L-24P-4X,2023-MAR-20,2026-MAR-20,Cisco,AD2-SHAFT-B-2F,AD2-SHAFT-B-2F,Switch 2
Non PoE,FOC2650YM1Y,C9300L-48T-4X,2023-MAR-20,2026-MAR-20,Cisco,AD2-SHAFT-B-2F,AD2-SHAFT-B-2F,Switch 3
Non PoE,FOC2650YNEQ,C9300L-48T-4X,2023-MAR-20,2026-MAR-20,Cisco,AD2-SHAFT-B-2F,AD2-SHAFT-B-2F,Switch 4
Non PoE,FOC2715Y3PM,C9300L-48T-4X,2023-MAR-20,2026-MAR-20,Cisco,AD2-SHAFT-B-2F,AD2-SHAFT-B-2F,Switch 5
Non PoE,FOC2650YLZS,C9300L-48T-4X,2023-MAR-20,2026-MAR-20,Cisco,AD2-SHAFT-B-2F,AD2-SHAFT-B-2F,Switch 6
Non PoE,FOC2650YNWL,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R1,AD2-SHAFT-C-3F-R1,Switch 1
Non PoE,FOC2650YK48,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R1,AD2-SHAFT-C-3F-R1,Switch 2
Non PoE,FOC2650YK43,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R1,AD2-SHAFT-C-3F-R1,Switch 3
Non PoE,FOC2650YN7Q,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R1,AD2-SHAFT-C-3F-R1,Switch 4
Non PoE,FOC2650YJZT,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R1,AD2-SHAFT-C-3F-R1,Switch 5
Non PoE,FOC2650YJ7W,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R1,AD2-SHAFT-C-3F-R1,Switch 6
Non PoE,FOC2650YNFZ,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R1,AD2-SHAFT-C-3F-R1,Switch 7
Non PoE,FOC2650YNWK,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R1,AD2-SHAFT-C-3F-R1,Switch 8
Non PoE,FOC2650YNG1,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R2,AD2-SHAFT-C-3F-R2,Switch 1
PoE,FOC2630Y2LU,C9300L-24P-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R2,AD2-SHAFT-C-3F-R2,Switch 2
PoE,FOC2630Y3CE,C9300L-24P-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R2,AD2-SHAFT-C-3F-R2,Switch 3
PoE,FOC2630Y2JH,C9300L-24P-4X,2023-APR-12,2026-APR-12,Cisco,AD2-SHAFT-C-3F-R2,AD2-SHAFT-C-3F-R2,Switch 4
Non PoE,FJC27042YAH,C9500-16X,2023-MAY-02,2026-MAY-02,Cisco,AD3-Dist-SW,AD3-Dist-SW,Switch 1
Non PoE,FJC265213QR,C9500-16X,2023-MAY-02,2026-MAY-02,Cisco,AD3-Dist-SW,AD3-Dist-SW,Switch 2
PoE,FOC2714Y8KZ,C9300L-24P-4X,2023-JUN-24,2026-JUN-24,Cisco,AD3-SHAFT-A-2F,AD3-SHAFT-A-2F,Switch 1
PoE,FOC2714Y8MC,C9300L-24P-4X,2023-JUN-24,2026-JUN-24,Cisco,AD3-SHAFT-A-2F,AD3-SHAFT-A-2F,Switch 2
