Interface,Switch,Instant Input Power
Te1/0/1,AD2-Dist-SW,-8.0
Te1/0/2,AD2-Dist-SW,-0.9
Te1/0/3,AD2-Dist-SW,-1.5
Te1/0/4,AD2-Dist-SW,-2.2
Te1/0/13,AD2-Dist-SW,0.0
Te1/0/14,AD2-Dist-SW,-0.2
Te1/0/16,AD2-Dist-SW,-4.9
Te2/0/1,AD2-Dist-SW,-40.0
Te2/0/2,AD2-Dist-SW,-0.5
Te2/0/3,AD2-Dist-SW,-4.6
Te2/0/4,AD2-Dist-SW,-1.2
Te2/0/13,AD2-Dist-SW,-3.6
Te2/0/14,AD2-Dist-SW,-1.4
Te2/0/16,AD2-Dist-SW,-40.0
Te1/0/1,AD3-Dist-SW,-1.5
Te1/0/2,AD3-Dist-SW,-0.7
Te1/0/3,AD3-Dist-SW,-40.0
Te1/0/4,AD3-Dist-SW,-8.0
Te1/0/5,AD3-Dist-SW,-3.6
Te1/0/16,AD3-Dist-SW,-5.1
Te2/0/1,AD3-Dist-SW,-2.7
Te2/0/2,AD3-Dist-SW,-1.1
Te2/0/3,AD3-Dist-SW,-2.1
Te2/0/4,AD3-Dist-SW,-0.4
Te2/0/5,AD3-Dist-SW,-1.8
Te2/0/16,AD3-Dist-SW,-40.0
Te1/0/1,Admin-LGF-Dist-SW,-2.3
Te1/0/2,Admin-LGF-Dist-SW,-11.0
Te1/0/3,Admin-LGF-Dist-SW,-3.1
Te1/0/4,Admin-LGF-Dist-SW,-5.9
Te1/0/5,Admin-LGF-Dist-SW,-4.3
Te1/0/6,Admin-LGF-Dist-SW,-4.6
Te1/0/7,Admin-LGF-Dist-SW,-3.7
Te1/0/8,Admin-LGF-Dist-SW,-6.0
Te1/0/9,Admin-LGF-Dist-SW,-11.7
Te1/0/10,Admin-LGF-Dist-SW,-2.3
Te1/0/11,Admin-LGF-Dist-SW,-11.0
Te1/0/12,Admin-LGF-Dist-SW,-15.4
Te1/0/13,Admin-LGF-Dist-SW,-3.8
Te1/0/14,Admin-LGF-Dist-SW,-2.6
Te1/0/15,Admin-LGF-Dist-SW,-3.7
Te1/0/16,Admin-LGF-Dist-SW,-5.5
Te2/0/1,Admin-LGF-Dist-SW,-8.7
Te2/0/2,Admin-LGF-Dist-SW,-40.0
Te2/0/3,Admin-LGF-Dist-SW,-40.0
Te2/0/4,Admin-LGF-Dist-SW,-40.0
Te2/0/5,Admin-LGF-Dist-SW,-40.0
Te2/0/6,Admin-LGF-Dist-SW,-40.0
Te2/0/7,Admin-LGF-Dist-SW,-40.0
Te2/0/8,Admin-LGF-Dist-SW,-40.0
Te2/0/9,Admin-LGF-Dist-SW,-40.0
Te2/0/10,Admin-LGF-Dist-SW,-40.0
Te2/0/11,Admin-LGF-Dist-SW,-40.0
Te2/0/12,Admin-LGF-Dist-SW,-4.3
Te2/0/13,Admin-LGF-Dist-SW,-3.8
Te2/0/14,Admin-LGF-Dist-SW,-2.3
Te2/0/15,Admin-LGF-Dist-SW,-3.1
Te2/0/16,Admin-LGF-Dist-SW,-40.0
Te1/0/1,BHM-B-GF-Dist-SW,-40.0
Te1/0/2,BHM-B-GF-Dist-SW,-40.0
Te1/0/3,BHM-B-GF-Dist-SW,-4.8
Te1/0/4,BHM-B-GF-Dist-SW,-2.8
Te1/0/5,BHM-B-GF-Dist-SW,-7.6
Te1/0/6,BHM-B-GF-Dist-SW,-3.0
Te1/0/8,BHM-B-GF-Dist-SW,-3.1
Te1/0/9,BHM-B-GF-Dist-SW,-3.5
Te1/0/10,BHM-B-GF-Dist-SW,-3.9
Te1/0/11,BHM-B-GF-Dist-SW,-40.0
Te1/0/12,BHM-B-GF-Dist-SW,-40.0
Te1/0/13,BHM-B-GF-Dist-SW,-3.8
Te1/0/14,BHM-B-GF-Dist-SW,-2.3
Te1/0/15,BHM-B-GF-Dist-SW,-3.3
Te1/0/16,BHM-B-GF-Dist-SW,-40.0
Te1/1/1,BHM-B-GF-Dist-SW,-40.0
Te1/1/2,BHM-B-GF-Dist-SW,-40.0
Te1/1/3,BHM-B-GF-Dist-SW,-40.0
Te1/1/4,BHM-B-GF-Dist-SW,-40.0
Te2/0/1,BHM-B-GF-Dist-SW,-4.4
Te2/0/2,BHM-B-GF-Dist-SW,-12.2
Te2/0/3,BHM-B-GF-Dist-SW,-7.3
Te2/0/4,BHM-B-GF-Dist-SW,-10.9
Te2/0/5,BHM-B-GF-Dist-SW,-9.4
Te2/0/6,BHM-B-GF-Dist-SW,-3.2
Te2/0/7,BHM-B-GF-Dist-SW,-6.9
Te2/0/8,BHM-B-GF-Dist-SW,-3.6
Te2/0/9,BHM-B-GF-Dist-SW,-4.2
Te2/0/10,BHM-B-GF-Dist-SW,-6.9
Te2/0/11,BHM-B-GF-Dist-SW,-4.3
Te2/0/12,BHM-B-GF-Dist-SW,-16.6
