Generated on: 2024-12-24 15:57:57
Interface,Switch,Instant Input Power
Te1/0/1,AD2-Dist-SW,-8.0
Te1/0/2,AD2-Dist-SW,-0.7
Te1/0/3,AD2-Dist-SW,-1.7
Te1/0/4,AD2-Dist-SW,-2.2
Te1/0/13,AD2-Dist-SW,0.0
Te1/0/14,AD2-Dist-SW,-0.4
Te1/0/16,AD2-Dist-SW,-4.9
Te2/0/1,AD2-Dist-SW,-40.0
Te2/0/2,AD2-Dist-SW,-0.4
Te2/0/3,AD2-Dist-SW,-4.7
Te2/0/4,AD2-Dist-SW,-1.3
Te2/0/13,AD2-Dist-SW,-3.6
Te2/0/14,AD2-Dist-SW,-1.5
Te2/0/16,AD2-Dist-SW,-40.0
TenGigabitEthernet1/1/1,AD2-SHAFT-A-2F,-2.2
TenGigabitEthernet4/1/1,AD2-SHAFT-A-2F,-40.0
TenGigabitEthernet1/1/1,AD2-SHAFT-B-2F,-1.8
TenGigabitEthernet6/1/1,AD2-SHAFT-B-2F,-1.7
TenGigabitEthernet1/1/1,AD2-SHAFT-C-3F-R1,-1.2
TenGigabitEthernet8/1/1,AD2-SHAFT-C-3F-R1,-2.7
TenGigabitEthernet1/1/1,AD2-SHAFT-C-3F-R2,-3.0
TenGigabitEthernet4/1/1,AD2-SHAFT-C-3F-R2,-4.5
Te1/0/1,AD3-Dist-SW,-1.3
Te1/0/2,AD3-Dist-SW,-0.7
Te1/0/3,AD3-Dist-SW,-40.0
Te1/0/4,AD3-Dist-SW,-8.0
Te1/0/5,AD3-Dist-SW,-3.5
Te1/0/16,AD3-Dist-SW,-5.1
Te2/0/1,AD3-Dist-SW,-2.7
Te2/0/2,AD3-Dist-SW,-1.0
Te2/0/3,AD3-Dist-SW,-2.0
Te2/0/4,AD3-Dist-SW,-0.5
Te2/0/5,AD3-Dist-SW,-1.8
Te2/0/16,AD3-Dist-SW,-40.0
TenGigabitEthernet1/1/1,AD3-SHAFT-A-2F,-2.3
TenGigabitEthernet6/1/1,AD3-SHAFT-A-2F,-4.5
TenGigabitEthernet1/1/1,AD3-SHAFT-B-2F,-1.9
TenGigabitEthernet3/1/1,AD3-SHAFT-B-2F,-3.3
TenGigabitEthernet1/1/1,AD3-SHAFT-B-4F,-2.0
TenGigabitEthernet3/1/1,AD3-SHAFT-B-4F,-4.2
TenGigabitEthernet1/1/1,AD3-SHAFT-C-1F,-1.6
TenGigabitEthernet3/1/1,AD3-SHAFT-C-1F,-3.4
TenGigabitEthernet1/1/1,AD3-SHAFT-C-4F,-3.5
TenGigabitEthernet2/1/1,AD3-SHAFT-C-4F,-7.7
Te1/0/1,Admin-LGF-Dist-SW,-2.0
Te1/0/2,Admin-LGF-Dist-SW,-11.1
Te1/0/3,Admin-LGF-Dist-SW,-3.1
Te1/0/4,Admin-LGF-Dist-SW,-5.8
Te1/0/5,Admin-LGF-Dist-SW,-4.3
Te1/0/6,Admin-LGF-Dist-SW,-4.6
Te1/0/7,Admin-LGF-Dist-SW,-3.7
Te1/0/8,Admin-LGF-Dist-SW,-5.5
Te1/0/9,Admin-LGF-Dist-SW,-11.7
Te1/0/10,Admin-LGF-Dist-SW,-2.2
Te1/0/11,Admin-LGF-Dist-SW,-11.0
Te1/0/12,Admin-LGF-Dist-SW,-15.4
Te1/0/13,Admin-LGF-Dist-SW,-4.1
Te1/0/14,Admin-LGF-Dist-SW,-2.6
Te1/0/15,Admin-LGF-Dist-SW,-3.8
Te1/0/16,Admin-LGF-Dist-SW,-5.5
Te2/0/1,Admin-LGF-Dist-SW,-8.7
Te2/0/2,Admin-LGF-Dist-SW,-2.8
Te2/0/3,Admin-LGF-Dist-SW,-12.9
Te2/0/4,Admin-LGF-Dist-SW,-6.1
Te2/0/5,Admin-LGF-Dist-SW,-2.0
Te2/0/6,Admin-LGF-Dist-SW,-2.1
Te2/0/7,Admin-LGF-Dist-SW,-3.9
Te2/0/8,Admin-LGF-Dist-SW,-9.9
Te2/0/9,Admin-LGF-Dist-SW,-5.6
Te2/0/10,Admin-LGF-Dist-SW,-7.5
Te2/0/11,Admin-LGF-Dist-SW,-12.9
Te2/0/12,Admin-LGF-Dist-SW,-4.3
