Hostname,Name,Description,Serial Number,Start Date,End Date
BHJ-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YM6J,2023-APR-12,2026-APR-12
BHJ-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YNCA,2023-APR-12,2026-APR-12
BHJ-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YK56,2023-APR-12,2026-APR-12
BHJ-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YDQH,2023-JAN-26,2026-JAN-26
BHJ-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YM2C,2023-APR-12,2026-APR-12
BHJ-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YK2A,2023-APR-12,2026-APR-12
BHJ-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YLZY,2023-APR-12,2026-APR-12
BHJ-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YDPN,2023-JAN-26,2026-JAN-26
BHK-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YENG,2022-AUG-26,2025-AUG-26
BHK-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMX,2022-AUG-26,2025-AUG-26
BHK-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YEKG,2022-AUG-26,2025-AUG-26
BHK-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YE9G,2023-JAN-26,2026-JAN-26
BHK-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YEEF,2022-AUG-26,2025-AUG-26
BHK-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YEMH,2022-AUG-26,2025-AUG-26
BHK-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YES8,2022-AUG-26,2025-AUG-26
BHK-B-GF-SW,Switch 1,C9300L-24T-4X,FVH2724L0T7,,
BHL-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YK4R,2023-APR-12,2026-APR-12
BHL-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YLXE,2023-APR-12,2026-APR-12
BHL-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YJNW,2023-APR-12,2026-APR-12
BHL-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YDGB,2023-JAN-26,2026-JAN-26
BHL-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJTC,2023-APR-12,2026-APR-12
BHL-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YN8E,2023-APR-12,2026-APR-12
BHL-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YJR8,2023-APR-12,2026-APR-12
BHL-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YEBW,2023-JAN-26,2026-JAN-26
BHM-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YNWU,2023-APR-12,2026-APR-12
BHM-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YK6N,2023-APR-12,2026-APR-12
BHM-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YM8B,2023-APR-12,2026-APR-12
BHM-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YDE4,2023-JAN-26,2026-JAN-26
BHM-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJLH,2023-APR-12,2026-APR-12
BHM-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YL2B,2023-APR-12,2026-APR-12
BHM-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YL1P,2023-APR-12,2026-APR-12
BHM-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YEAF,2023-JAN-26,2026-JAN-26
BHN-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YHWY,2022-AUG-26,2025-AUG-26
BHN-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMB,2022-AUG-26,2025-AUG-26
BHN-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YHZ2,2022-AUG-26,2025-AUG-26
BHN-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YCMH,2023-JAN-26,2026-JAN-26
BHN-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YEZ1,2022-AUG-26,2025-AUG-26
BHN-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHN6,2022-AUG-26,2025-AUG-26
BHN-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMT,2022-AUG-26,2025-AUG-26
BHN-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YFEH,,
BHP-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJZS,2023-APR-12,2026-APR-12
BHP-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YJRD,2023-APR-12,2026-APR-12
BHP-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YP7B,2023-APR-12,2026-APR-12
BHP-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YD44,2023-JAN-26,2026-JAN-26
BHP-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJQJ,2023-APR-12,2026-APR-12
BHP-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YJYK,2023-APR-12,2026-APR-12
BHP-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YM1L,2023-APR-12,2026-APR-12
BHP-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YE93,2023-JAN-26,2026-JAN-26
BHQ-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YQ42,2023-APR-12,2026-APR-12
BHQ-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YQ60,2023-APR-12,2026-APR-12
BHQ-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YL2D,2023-APR-12,2026-APR-12
BHQ-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YCW9,2023-JAN-26,2026-JAN-26
BHQ-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJS5,2023-APR-12,2026-APR-12
BHQ-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YJNY,2023-APR-12,2026-APR-12
BHQ-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YQ6G,2023-APR-12,2026-APR-12
BHQ-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YCHV,2023-JAN-26,2026-JAN-26
Sarabhai-Distribution SW,Switch 1,C9500-16X,FOC2631YCUT,2023-JUL-04,2026-JUL-04
Sarabhai-Distribution SW,Switch 2,C9500-16X,FOC2631YD89,2023-JUL-04,2026-JUL-04
