Hostname,IP Address,Switch Type,Error Message
GHB-05-R2-SW1,192.168.100.214,HPE,
GHB-00-R1-ELV-SW1,192.168.100.211,HPE,
GHB-02-R1-ELV-SW1,192.168.100.212,HPE,
GHB-05-R1-ELV-SW1,192.168.100.213,HPE,
GHB-02-R2-SW1,192.168.100.215,HPE,
Kapila PSH 200,192.168.100.95,HP 1910-8G-PoE+,
GHA-02-R1-ELV-SW1,192.168.100.202,Error,
GHA-00-R1-ELV-SW1,192.168.100.201,Error,
GHA-05-R1-ELV-SW1,192.168.100.203,Error,
Kapila PSH 600,192.168.100.96,HP 1910-8G-PoE+,
Kapila PSH 700,192.168.100.97,HP 1910-8G-PoE+
KNC-Lab1,10.4.120.112,Error,
KNC Aruba PoE near Stairs,10.4.120.111,Error,
KNC-Lab2,10.4.120.115,Error,
Kapila PSH 1100,192.168.100.99,Aruba 2540-24G-PoE+-4SFP+  JL356A ,
Kapila PSH 300,192.168.100.94,Aruba,
Kapila PSH 900,192.168.100.98,Aruba,
GHA-05-R2-SW1,192.168.100.204,HPE,
GHA-02-R2-SW1,192.168.100.205,HPE,
