Name,Interface,Mapped From,Mapped To,Hit Count,Ref.
"192.168.16.150-TCP_1717","NKN (port25)",103.232.241.154,"192.168.16.150",443239,1
"192.168.16.150-TCP_1718","NKN (port25)",103.232.241.154,"192.168.16.150",17,1
"192.168.88.31_27020","NKN (port25)",103.232.241.154,"192.168.88.31",103,1
"192.168.88.31_27021","NKN (port25)",103.232.241.154,"192.168.88.31",3,1
"192.168.136.17_443","NKN (port25)",103.232.241.154,"192.168.136.17",2640,1
"192.168.78.241","NKN (port25)",103.232.241.118,"192.168.78.241",760695,1
"10.6.2.10","NKN (port25)",103.232.241.205,"10.6.2.10",603912,1
"192.168.36.74","NKN (port25)",103.232.241.38,"192.168.36.74",804281,1
"192.168.36.25","NKN (port25)",103.232.241.25,"192.168.36.25",1389980,1
"192.168.36.59","NKN (port25)",103.232.241.26,"192.168.36.59",938893,1
"192.168.36.64","NKN (port25)",103.232.241.24,"192.168.36.64",1416513,1
"192.168.74.21","NKN (port25)",103.232.241.31,"192.168.74.21",547033,1
"192.168.36.40","NKN (port25)",103.232.241.40,"192.168.36.40",1078607,1
"192.168.167.90","NKN (port25)",103.232.241.90,"192.168.167.90",546504,1
"192.168.35.50","NKN (port25)",218.248.6.137,"192.168.35.50",0,1
"192.168.35.57","NKN (port25)",218.248.6.152,"192.168.35.57",0,1
"192.168.36.57","NKN (port25)",103.232.241.57,"192.168.36.57",1085080,1
"192.168.36.55","NKN (port25)",103.232.241.55,"192.168.36.55",2198148,1
"192.168.0.38","NKN (port25)",218.248.6.157,"192.168.0.38",0,1
"192.168.36.52","NKN (port25)",103.232.241.13,"192.168.36.52",9005968,2
"192.168.36.53","NKN (port25)",103.232.241.12,"192.168.36.53",17823752,1
"192.168.36.63-Wire-Guard-vpn","NKN (port25)",103.232.241.16,"192.168.36.63",2490034,1
"192.168.167.151","NKN (port25)",103.232.241.131,"192.168.167.151",998045,1
"192.168.41.34","NKN (port25)",103.232.241.156,"192.168.41.34",617722,1
"192.168.41.35","NKN (port25)",103.232.241.157,"192.168.41.35",546700,1
"103.232.241.35","NKN (port25)",103.232.241.35,"192.168.16.151",15049734,1
"192.168.36.56","NKN (port25)",103.232.241.56,"192.168.36.56",7470564,1
