Hostname,Host IP Address,Boot Image,Boot Image Version,Compiled,BOARD TYPE
BHA-00-R1-ELV-SW1,192.168.100.11,N/A,N/A,N/A,N/A
BHA-02-R1-ELV-SW1,192.168.100.12,N/A,N/A,N/A,N/A
BHA-02-R2-SW1,192.168.100.15,N/A,N/A,N/A,N/A
BHA-05-R1-ELV-SW1,192.168.100.13,N/A,N/A,N/A,N/A
BHA-05-R2-SW1,192.168.100.14,N/A,N/A,N/A,N/A
BHB-00-R1-ELV-SW1,192.168.100.21,flash:/5130ei-cmw710-boot-r3507.bin,"7.1.070, Release 3507",Jun 08 2021 11:00:00,5130-24G-4SFP+ EI
BHB-02-R1-ELV-SW1,192.168.100.22,flash:/5130ei-cmw710-boot-r3507.bin,"7.1.070, Release 3507",Jun 08 2021 11:00:00,5130-48G-4SFP+ EI JG934A
BHB-05-R1-ELV-SW1,192.168.100.23,flash:/5130ei-cmw710-boot-r3507.bin,"7.1.070, Release 3507",Jun 08 2021 11:00:00,5130-48G-4SFP+ EI JG934A
BHB-05-R2-SW1,192.168.100.24,flash:/5130ei-cmw710-boot-r3507.bin,"7.1.070, Release 3507",Jun 08 2021 11:00:00,5130-48G-4SFP+ EI JG934A
BHC-00-R1-ELV-SW1,192.168.100.31,flash:/5130ei-cmw710-boot-r3507.bin,"7.1.070, Release 3507",Jun 08 2021 11:00:00,5130-24G-4SFP+ EI
BHC-02-R1-ELV-SW1,192.168.100.32,N/A,N/A,N/A,N/A
BHC-02-R2-SW1,192.168.100.35,N/A,N/A,N/A,N/A
BHC-05-R1-ELV-SW1,192.168.100.33,N/A,N/A,N/A,N/A
BHC-05-R2-SW1,192.168.100.34,N/A,N/A,N/A,N/A
BHD-00-R1-ELV-SW1,192.168.100.41,N/A,N/A,N/A,N/A
BHD-02-R1-ELV-SW1,192.168.100.42,N/A,N/A,N/A,N/A
BHD-02-R2-SW1,192.168.100.45,N/A,N/A,N/A,N/A
BHD-05-R1-ELV-SW1,192.168.100.43,N/A,N/A,N/A,N/A
BHD-05-R2-SW1,192.168.100.44,N/A,N/A,N/A,N/A
BHF-00-R1-ELV-SW1,192.168.100.61,N/A,N/A,N/A,N/A
BHF-02-R1-ELV-SW1,192.168.100.62,N/A,N/A,N/A,N/A
BHF-02-R2-SW1,192.168.100.65,N/A,N/A,N/A,N/A
BHF-05-R1-ELV-SW1,192.168.100.63,N/A,N/A,N/A,N/A
BHF-05-R2-SW1,192.168.100.64,N/A,N/A,N/A,N/A
BHG-00-R1-ELV-SW1,192.168.100.71,N/A,N/A,N/A,N/A
BHG-02-R1-ELV-SW1,192.168.100.72,N/A,N/A,N/A,N/A
BHG-02-R2-SW1,192.168.100.75,N/A,N/A,N/A,N/A
BHG-05-R1-ELV-SW1,192.168.100.73,N/A,N/A,N/A,N/A
BHG-05-R2-SW1,192.168.100.74,N/A,N/A,N/A,N/A
BHH-00-R1-ELV-SW1,192.168.100.81,N/A,N/A,N/A,N/A
BHH-02-R2-SW1,192.168.100.85,N/A,N/A,N/A,N/A
BHH-05-R1-ELV-SW1,192.168.100.83,N/A,N/A,N/A,N/A
BHH-05-R2-SW1,192.168.100.84,N/A,N/A,N/A,N/A
GHA-00-R1-ELV-SW1,192.168.100.201,flash:/5130ei-cmw710-boot-r3507.bin,"7.1.070, Release 3507",Jun 08 2021 11:00:00,5130-24G-4SFP+ EI
GHA-02-R1-ELV-SW1,192.168.100.202,flash:/5130ei-cmw710-boot-r3106.bin,"7.1.045, Release 3106",Jul 31 2014 08:36:45,HP-5130-48G-4SFP+ EI JG934A
GHA-02-R2-SW1,192.168.100.205,flash:/5130ei-cmw710-boot-r3507.bin,"7.1.070, Release 3507",Jun 08 2021 11:00:00,5130-48G-4SFP+ EI JG934A
GHA-05-R1-ELV-SW1,192.168.100.203,flash:/5130ei-cmw710-boot-r3106.bin,"7.1.045, Release 3106",Jul 31 2014 08:36:45,HP-5130-48G-4SFP+ EI JG934A
GHA-05-R2-SW1,192.168.100.204,flash:/5130ei-cmw710-boot-r3507.bin,"7.1.070, Release 3507",Jun 08 2021 11:00:00,5130-48G-4SFP+ EI JG934A
GHB-00-R1-ELV-SW1,192.168.100.211,flash:/5130ei-cmw710-boot-r3109p05.bin,"7.1.045, Release 3109P05",Jun 16 2015 17:47:17,5130-24G-4SFP+ EI
GHB-02-R1-ELV-SW1,192.168.100.212,flash:/5130ei-cmw710-boot-r3109p05.bin,"7.1.045, Release 3109P05",Jun 16 2015 17:47:17,5130-48G-4SFP+ EI
GHB-02-R2-SW1,192.168.100.215,flash:/5130ei-cmw710-boot-r3113p05.bin,"7.1.045, Release 3113P05",May 25 2016 16:00:00,5130-48G-4SFP+ EI
GHB-05-R1-ELV-SW1,192.168.100.213,flash:/5130ei-cmw710-boot-r3113p05.bin,"7.1.045, Release 3113P05",May 25 2016 16:00:00,5130-48G-4SFP+ EI
GHB-05-R2-SW1,192.168.100.214,flash:/5130ei-cmw710-boot-r3106.bin,"7.1.045, Release 3106",Jul 31 2014 08:36:45,HP-5130-48G-4SFP+ EI JG934A
