Hostname,IP Address,Interface,RX Power (dBm)
BHA-00-R1-ELV-SW1,192.168.100.11,Ten-GigabitEthernet1/0/28,-7.68
BHA-02-R2-SW1,192.168.100.15,Ten-GigabitEthernet1/0/50,-8.96
BHB-00-R1-ELV-SW1,192.168.100.21,Ten-GigabitEthernet1/0/27,-10.93
BHD-00-R1-ELV-SW1,192.168.100.41,Ten-GigabitEthernet1/0/25,-10.73
BHD-02-R2-SW1,192.168.100.45,Ten-GigabitEthernet1/0/52,-40
BHG-00-R1-ELV-SW1,192.168.100.71,Ten-GigabitEthernet1/0/25,-36.96
BHG-00-R1-ELV-SW1,192.168.100.71,Ten-GigabitEthernet1/0/26,-40
BHG-00-R1-ELV-SW1,192.168.100.71,Ten-GigabitEthernet1/0/28,-8.42
BHG-02-R2-SW1,192.168.100.75,Ten-GigabitEthernet1/0/49,-40
BHH-00-R1-ELV-SW1,192.168.100.81,Ten-GigabitEthernet1/0/25,-19
BHH-02-R2-SW1,192.168.100.85,Ten-GigabitEthernet1/0/52,-14.57
GHA-02-R2-SW1,192.168.100.205,Ten-GigabitEthernet1/0/49,-9.67
GHB-00-R1-ELV-SW1,192.168.100.211,Ten-GigabitEthernet1/0/25,-8.33
GHB-02-R2-SW1,192.168.100.215,Ten-GigabitEthernet1/0/50,-36.96
Hostel C distribution sw,192.168.100.2,Ten-GigabitEthernet1/0/1,-7.88
,,Ten-GigabitEthernet1/0/2,-40
,,Ten-GigabitEthernet1/0/3,-5.12
,,Ten-GigabitEthernet1/0/4,-11.15
,,Ten-GigabitEthernet1/0/5,-18.1
,,Ten-GigabitEthernet1/0/6,-7.79
,,Ten-GigabitEthernet1/0/7,-18.33
,,Ten-GigabitEthernet1/0/8,-24.69
,,Ten-GigabitEthernet1/0/9,-17.47
,,Ten-GigabitEthernet1/0/10,-11.99
,,Ten-GigabitEthernet1/0/11,-10.62
,,Ten-GigabitEthernet1/0/18,-21.49
,,Ten-GigabitEthernet1/0/23,-23.87
,,Ten-GigabitEthernet1/0/24,-7.53
,,Ten-GigabitEthernet1/0/25,-15.45
,,Ten-GigabitEthernet1/0/27,-12.27
,,Ten-GigabitEthernet1/0/28,-3.9
,,Ten-GigabitEthernet1/0/38,-4.53
,,Ten-GigabitEthernet2/0/1,-24.69
,,Ten-GigabitEthernet2/0/2,-26.78
,,Ten-GigabitEthernet2/0/3,-12.38
,,Ten-GigabitEthernet2/0/5,-35.64
,,Ten-GigabitEthernet2/0/6,-32.8
,,Ten-GigabitEthernet2/0/7,-22.01
,,Ten-GigabitEthernet2/0/8,-9.11
,,Ten-GigabitEthernet2/0/9,-7.12
,,Ten-GigabitEthernet2/0/10,-36.96
,,Ten-GigabitEthernet2/0/38,-40
