Policy,Source,Destination,Schedule,Service,Action,IP Pool,NAT,Type,Security Profiles,Log,Bytes
,,,,,,,,,,,
port28(DMZ) to port27(LAN),,,,,,,,,,,
96,192.168.36.58/32,"192.168.161.42
192.168.161.64/32",always,ALL,ACCEPT,,Disabled,Standard,NO,All,0 B
31,"192.168.35.0/24
192.168.36.0/24","10.1.0.0 255.255.240.0
10.10.0.0 /255.255.192.0
172.16.0.0/255.240.0.0
192.168.0.0 255.255.0.0",always,ALL,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,1.48 TB
3,all,all,always,ALL,ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,163.71 GB
,,,,,,,,,,,
port28(DMZ) to virtual-wan-link,,,,,,,,,,,
129,192.168.36.53/32,all,always,ALL,ACCEPT,,NAT,Standard,no-inspection,All,0 B
53,192.168.36.5,all,always,DNS,ACCEPT,,NAT,Standard,"AV
certificate-inspection
protect_client",All,31.15 GB
111,EXAM-APP-Server,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.40,NAT,Standard,"certificate-inspection
g-default
protect_client",All,372.42 MB
110,ERP,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.38,NAT,Standard,"certificate-inspection
g-default
protect_client",All,851.73 MB
108,192.168.36.150/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.6,NAT,Standard,"certificate-inspection
g-default
protect_client",All,0 B
107,192.168.36.25/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.25,NAT,Standard,"certificate-inspection
g-default
protect_client",All,7.19 GB
106,192.168.36.52/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.13,NAT,Standard,"certificate-inspection
g-default
protect_client",All,341.09 MB
105,192.168.36.53/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.12,NAT,Standard,"certificate-inspection
g-default
protect_client",All,58.23 GB
104,192.168.36.55/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.55,NAT,Standard,"certificate-inspection
g-default
protect_client",All,26.95 MB
103,192.168.36.56/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.56,NAT,Standard,"certificate-inspection
g-default
protect_client",All,126.64 MB
102,192.168.36.57/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.57,NAT,Standard,"certificate-inspection
g-default
protect_client",All,7.42 MB
101,192.168.36.59/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.26,NAT,Standard,"certificate-inspection
g-default
protect_client",All,315.39 MB
100,192.168.36.60/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.60,NAT,Standard,"certificate-inspection
g-default
protect_client",All,0 B
99,192.168.36.64/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.24,NAT,Standard,"certificate-inspection
g-default
protect_client",All,255.16 MB
DMZ_TO_LAN (4),all,all,always,ALL,ACCEPT,,NAT,Standard,certificate-inspection,All,11.7 TB
,,,,,,,,,,,
port27(LAN) to port28(DMZ),,,,,,,,,,,
89,"192.168.161.42
192.168.161.64/32",192.168.36.58/32,always,ALL,ACCEPT,,Disabled,Standard,NO,All,0 B
47,all,"192.168.35.52/32
192.168.36.53/32",always,ALL,ACCEPT,,Disabled,Standard,NO,All,881.06 GB
30,"10.1.0.0 255.255.240.0
10.10.0.0 /255.255.192.0
172.16.0.0/255.240.0.0
192.168.0.0 255.255.0.0","192.168.35.0/24
192.168.36.0/24",always,ALL,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,571.87 GB
LAN_TO_DMZ (2),all,all,always,ALL,ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,406.37 GB
,,,,,,,,,,,
port27(LAN) to virtual-wan-link,,,,,,,,,,,
127,all,"165.225.120.0/23
167.103.19.129/32
hyd1.sme.zscalerthree.net",always,ALL,ACCEPT,,NAT,Standard,NO,All,186.79 GB
meetings  (50),all,"Cisco-Web
Cisco-Webex
Cisco-Webex.FedRAMP
Microsoft-Skype_Teams
Zoom.us-Zoom.Meeting",always,,ACCEPT,,NAT,Standard,"g-default
NO
protect_client",All,6.5 TB
38,192.168.126.9,"103.78.148.208
152.66.245.139",always,"IMAP
SSH
TCP- 4789-UDP",ACCEPT,,NAT,Standard,"AV
certificate-inspection
protect_client",All,0 B
37,all,14.139.150.69,always,UDP-1194,ACCEPT,,NAT,Standard,"AV
certificate-inspection
protect_client",All,0 B
test2 (121),172.18.135.35,all,always,"UDP-1194
IMAP",ACCEPT,,NAT,Standard,"AV
certificate-inspection
protect_client",All,0 B
36,"10.1.11.0/24
10.1.4.0/32
10.1.5.1-10.1.5.254",all,always,TCP-5766,ACCEPT,,NAT,Standard,"AV
certificate-inspection
protect_client",All,272.53 MB
35,"10.2.0.0/16
172.22.82.0/255.255.254.0",all,always,"TCP-51821
UDP-51820",ACCEPT,,NAT,Standard,"certificate-inspection
g-default
protect_client",All,154.11 GB
34,all,20.197.62.212/32,always,TCP_1718,ACCEPT,,NAT,Standard,"AV
certificate-inspection
protect_client",All,2.18 kB
