Hostname,Name,Description,Serial Number
AD2-Dist-SW,c95xx Stack,c95xx Stack,FJC265215PG
AD2-Dist-SW,Switch 1,C9500-16X,FJC265215PG
AD2-Dist-SW,Switch 1 - Power Supply A,Switch 1 - Power Supply A,DCI2613M3SP
AD2-Dist-SW,Switch 1 - Power Supply B,Switch 1 - Power Supply B,DCI2613M3T6
AD2-Dist-SW,Te1/0/1,SFP-10GBase-LR,FNS261700Q6
AD2-Dist-SW,Te1/0/2,SFP-10GBase-LR,FNS261700Q6
AD2-Dist-SW,Te1/0/3,SFP-10GBase-LR,SY2312-WKBC20731
AD2-Dist-SW,Te1/0/4,SFP-10GBase-LR,FNS261700Q6
AD2-Dist-SW,Te1/0/13,SFP-10GBase-LR,SY2312-WKBC21569
AD2-Dist-SW,Te1/0/14,SFP-10GBase-LR,FNS261700Q6
AD2-Dist-SW,Te1/0/15,SFP-10GBase-CX1,MPH2614A03H
AD2-Dist-SW,Te1/0/16,SFP-10GBase-LR,SY2312-WKBC20648
AD2-Dist-SW,Switch 2,C9500-16X,FOC2631YC1R
AD2-Dist-SW,Switch 2 - Power Supply A,Switch 2 - Power Supply A,DCI2618M6SV
AD2-Dist-SW,Switch 2 - Power Supply B,Switch 2 - Power Supply B,DCI2618M6SU
AD2-Dist-SW,Te2/0/1,SFP-10GBase-LR,SY2312-WKBC21568
AD2-Dist-SW,Te2/0/2,SFP-10GBase-LR,FNS261700Q6
AD2-Dist-SW,Te2/0/3,SFP-10GBase-LR,SY2312-WKBC21578
AD2-Dist-SW,Te2/0/4,SFP-10GBase-LR,SY2312-WKBC20954
AD2-Dist-SW,Te2/0/13,SFP-10GBase-LR,FNS261700Q6
AD2-Dist-SW,Te2/0/14,SFP-10GBase-LR,FNS261700Q6
AD2-Dist-SW,Te2/0/15,SFP-10GBase-CX1,MPH2614A03H
AD2-Dist-SW,Te2/0/16,SFP-10GBase-LR,SY2312-WKBC20969
AD2-SHAFT-A-2F,c93xxL Stack,c93xxL Stack,FOC2630Y5H2
AD2-SHAFT-A-2F,Switch 1,C9300L-24P-4X,FOC2630Y5H2
AD2-SHAFT-A-2F,StackPort1/1,StackPort1/1,LCC2640GAGU
AD2-SHAFT-A-2F,StackPort1/2,StackPort1/2,LCC2638HMWA
AD2-SHAFT-A-2F,StackAdapter1/1,StackAdapter1/1,FOC26247LCH
AD2-SHAFT-A-2F,StackAdapter1/2,StackAdapter1/2,FOC26247JXY
AD2-SHAFT-A-2F,Switch 1 - Power Supply A,Switch 1 - Power Supply A,DCC2629CGV8
AD2-SHAFT-A-2F,Switch 1 - Power Supply B,Switch 1 - Power Supply B,DCC2629CGV5
AD2-SHAFT-A-2F,Te1/1/1,SFP-10GBase-LR,SY2312-WKBC20508
AD2-SHAFT-A-2F,Switch 2,C9300L-24P-4X,FOC2629YS15
AD2-SHAFT-A-2F,StackPort2/1,StackPort2/1,LCC2638HN5E
AD2-SHAFT-A-2F,StackPort2/2,StackPort2/2,LCC2610GA04
AD2-SHAFT-A-2F,StackAdapter2/1,StackAdapter2/1,FOC26260GTX
AD2-SHAFT-A-2F,StackAdapter2/2,StackAdapter2/2,FOC26260QHR
AD2-SHAFT-A-2F,Switch 2 - Power Supply A,Switch 2 - Power Supply A,DCC2629CGYH
AD2-SHAFT-A-2F,Switch 2 - Power Supply B,Switch 2 - Power Supply B,DCC2629CGYU
AD2-SHAFT-A-2F,Switch 3,C9300L-24P-4X,FOC2630Y46L
AD2-SHAFT-A-2F,StackPort3/1,StackPort3/1,LCC2610GA04
AD2-SHAFT-A-2F,StackPort3/2,StackPort3/2,LCC2640GAGU
AD2-SHAFT-A-2F,StackAdapter3/1,StackAdapter3/1,FOC26247JYE
AD2-SHAFT-A-2F,StackAdapter3/2,StackAdapter3/2,FOC26260TDR
AD2-SHAFT-A-2F,Switch 3 - Power Supply A,Switch 3 - Power Supply A,DCC2628C7YS
AD2-SHAFT-A-2F,Switch 3 - Power Supply B,Switch 3 - Power Supply B,DCC2628C99P
AD2-SHAFT-A-2F,Switch 4,C9300L-48T-4X,FOC2650YK1X
AD2-SHAFT-A-2F,StackPort4/1,StackPort4/1,LCC2638HMWA
AD2-SHAFT-A-2F,StackPort4/2,StackPort4/2,LCC2638HN5E
AD2-SHAFT-A-2F,StackAdapter4/1,StackAdapter4/1,FOC2634697E
AD2-SHAFT-A-2F,StackAdapter4/2,StackAdapter4/2,FOC26346ELV
AD2-SHAFT-A-2F,Switch 4 - Power Supply B,Switch 4 - Power Supply B,DCC2651B3GV
AD2-SHAFT-A-2F,Te4/1/1,SFP-10GBase-LR,SY2312-WKBC20730
AD2-SHAFT-B-2F,c93xxL Stack,c93xxL Stack,FOC2644Y65E
AD2-SHAFT-B-2F,Switch 1,C9300L-24P-4X,FOC2644Y65E
AD2-SHAFT-B-2F,StackPort1/1,StackPort1/1,LCC2640GALX
AD2-SHAFT-B-2F,StackPort1/2,StackPort1/2,LCC2648G8GL
AD2-SHAFT-B-2F,StackAdapter1/1,StackAdapter1/1,FOC26397AQB
AD2-SHAFT-B-2F,StackAdapter1/2,StackAdapter1/2,FOC26397APU
AD2-SHAFT-B-2F,Switch 1 - Power Supply A,Switch 1 - Power Supply A,DCC2640C8NT
AD2-SHAFT-B-2F,Switch 1 - Power Supply B,Switch 1 - Power Supply B,DCC2710CA5A
AD2-SHAFT-B-2F,Te1/1/1,SFP-10GBase-LR,SY2312-WKBC21579
AD2-SHAFT-B-2F,Switch 2,C9300L-24P-4X,FOC2630Y3AA
AD2-SHAFT-B-2F,StackPort2/1,StackPort2/1,LCC2642G1MJ
AD2-SHAFT-B-2F,StackAdapter2/1,StackAdapter2/1,FOC26213S28
AD2-SHAFT-B-2F,StackAdapter2/2,StackAdapter2/2,FOC26226E0N
AD2-SHAFT-B-2F,Switch 2 - Power Supply A,Switch 2 - Power Supply A,DCC2628C19X
AD2-SHAFT-B-2F,Switch 2 - Power Supply B,Switch 2 - Power Supply B,DCC2628C19V
AD2-SHAFT-B-2F,Switch 3,C9300L-48T-4X,FOC2650YM1Y
AD2-SHAFT-B-2F,StackPort3/1,StackPort3/1,LCC2648G8H5
AD2-SHAFT-B-2F,StackPort3/2,StackPort3/2,LCC2642G1MJ
AD2-SHAFT-B-2F,StackAdapter3/1,StackAdapter3/1,FOC26346F6E
AD2-SHAFT-B-2F,StackAdapter3/2,StackAdapter3/2,FOC26346CFD
AD2-SHAFT-B-2F,Switch 3 - Power Supply B,Switch 3 - Power Supply B,DCC2651B0TF
AD2-SHAFT-B-2F,Switch 4,C9300L-48T-4X,FOC2650YNEQ
AD2-SHAFT-B-2F,StackPort4/1,StackPort4/1,LCC2638HN1C
AD2-SHAFT-B-2F,StackPort4/2,StackPort4/2,LCC2648G8H5
AD2-SHAFT-B-2F,StackAdapter4/1,StackAdapter4/1,FOC26346F61
AD2-SHAFT-B-2F,StackAdapter4/2,StackAdapter4/2,FOC263462SY
AD2-SHAFT-B-2F,Switch 4 - Power Supply B,Switch 4 - Power Supply B,DCC2651B2BA
AD2-SHAFT-B-2F,Switch 5,C9300L-48T-4X,FOC2715Y3PM
AD2-SHAFT-B-2F,StackPort5/1,StackPort5/1,LCC2640GAH5
AD2-SHAFT-B-2F,StackPort5/2,StackPort5/2,LCC2638HN1C
AD2-SHAFT-B-2F,StackAdapter5/1,StackAdapter5/1,FOC263467QH
AD2-SHAFT-B-2F,StackAdapter5/2,StackAdapter5/2,FOC2634666Z
AD2-SHAFT-B-2F,Switch 5 - Power Supply B,Switch 5 - Power Supply B,DCC2651B3BG
AD2-SHAFT-B-2F,Switch 6,C9300L-48T-4X,FOC2650YLZS
AD2-SHAFT-B-2F,StackPort6/1,StackPort6/1,LCC2648G8GL
AD2-SHAFT-B-2F,StackPort6/2,StackPort6/2,LCC2640GAH5
AD2-SHAFT-B-2F,StackAdapter6/1,StackAdapter6/1,FOC263469K3
AD2-SHAFT-B-2F,StackAdapter6/2,StackAdapter6/2,FOC2634623C
AD2-SHAFT-B-2F,Switch 6 - Power Supply B,Switch 6 - Power Supply B,DCC2651B3UK
AD2-SHAFT-B-2F,Te6/1/1,SFP-10GBase-LR,SY2312-WKBC21580
AD2-SHAFT-C-3F-R1,c93xxL Stack,c93xxL Stack,FOC2650YNWL
AD2-SHAFT-C-3F-R1,Switch 1,C9300L-48T-4X,FOC2650YNWL
AD2-SHAFT-C-3F-R1,StackPort1/1,StackPort1/1,LCC2648G8H0
AD2-SHAFT-C-3F-R1,StackPort1/2,StackPort1/2,LCC2743GF2W
AD2-SHAFT-C-3F-R1,StackAdapter1/1,StackAdapter1/1,FOC263462SV
AD2-SHAFT-C-3F-R1,StackAdapter1/2,StackAdapter1/2,FOC263461KL
AD2-SHAFT-C-3F-R1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,DCC2651B27R
AD2-SHAFT-C-3F-R1,Te1/1/1,SFP-10GBase-LR,SY2312-WKBC20919
AD2-SHAFT-C-3F-R1,Switch 2,C9300L-48T-4X,FOC2650YK48
AD2-SHAFT-C-3F-R1,StackPort2/1,StackPort2/1,LCC2642GLVN
AD2-SHAFT-C-3F-R1,StackPort2/2,StackPort2/2,LCC2648G8H0
AD2-SHAFT-C-3F-R1,StackAdapter2/1,StackAdapter2/1,FOC263466NP
AD2-SHAFT-C-3F-R1,StackAdapter2/2,StackAdapter2/2,FOC263466NW
AD2-SHAFT-C-3F-R1,Switch 2 - Power Supply B,Switch 2 - Power Supply B,DCC2651B3WH
AD2-SHAFT-C-3F-R1,Switch 3,C9300L-48T-4X,FOC2650YK43
AD2-SHAFT-C-3F-R1,StackPort3/1,StackPort3/1,LCC2616GL2F
AD2-SHAFT-C-3F-R1,StackPort3/2,StackPort3/2,LCC2642GLVN
AD2-SHAFT-C-3F-R1,StackAdapter3/1,StackAdapter3/1,FOC26346D49
AD2-SHAFT-C-3F-R1,StackAdapter3/2,StackAdapter3/2,FOC263460AK
