Hostname,Name,Description,Serial Number,Start Date,End Date
AD2-Dist-SW,Switch 1,C9500-16X,FJC265215PG,2023-MAY-02,2026-MAY-02
AD2-Dist-SW,Switch 2,C9500-16X,FOC2631YC1R,2023-MAY-02,2026-MAY-02
AD2-SHAFT-A-2F,Switch 1,C9300L-24P-4X,FOC2630Y5H2,2022-SEP-02,2025-SEP-02
AD2-SHAFT-A-2F,Switch 2,C9300L-24P-4X,FOC2629YS15,2022-SEP-02,2025-SEP-02
AD2-SHAFT-A-2F,Switch 3,C9300L-24P-4X,FOC2630Y46L,2022-SEP-02,2025-SEP-02
AD2-SHAFT-A-2F,Switch 4,C9300L-48T-4X,FOC2650YK1X,2022-SEP-02,2025-SEP-02
AD2-SHAFT-B-2F,Switch 1,C9300L-24P-4X,FOC2644Y65E,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 2,C9300L-24P-4X,FOC2630Y3AA,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 3,C9300L-48T-4X,FOC2650YM1Y,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 4,C9300L-48T-4X,FOC2650YNEQ,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 5,C9300L-48T-4X,FOC2715Y3PM,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 6,C9300L-48T-4X,FOC2650YLZS,2023-MAR-20,2026-MAR-20
AD2-SHAFT-C-3F-R1,Switch 1,C9300L-48T-4X,FOC2650YNWL,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 2,C9300L-48T-4X,FOC2650YK48,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 3,C9300L-48T-4X,FOC2650YK43,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 4,C9300L-48T-4X,FOC2650YN7Q,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 5,C9300L-48T-4X,FOC2650YJZT,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 6,C9300L-48T-4X,FOC2650YJ7W,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 7,C9300L-48T-4X,FOC2650YNFZ,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 8,C9300L-48T-4X,FOC2650YNWK,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R2,Switch 1,C9300L-48T-4X,FOC2650YNG1,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R2,Switch 2,C9300L-24P-4X,FOC2630Y2LU,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R2,Switch 3,C9300L-24P-4X,FOC2630Y3CE,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R2,Switch 4,C9300L-24P-4X,FOC2630Y2JH,2023-APR-12,2026-APR-12
AD3-Dist-SW,Switch 1,C9500-16X,FJC27042YAH,2023-MAY-02,2026-MAY-02
AD3-Dist-SW,Switch 2,C9500-16X,FJC265213QR,2023-MAY-02,2026-MAY-02
AD3-SHAFT-A-2F,Switch 1,C9300L-24P-4X,FOC2714Y8KZ,2023-JUN-24,2026-JUN-24
AD3-SHAFT-A-2F,Switch 2,C9300L-24P-4X,FOC2714Y8MC,2023-JUN-24,2026-JUN-24
